delta_generated_power6,delta_lambda6,delta_voltage6,dif_generated_power6,dif_lambda6,dif_myu_61,dif_myu_62,dif_myu_65,dif_myu_lower_p6,dif_myu_upper_p6,dif_voltage6,generated_power6,iteration6,lambda6,modified_dif_voltage6,myu61,myu62,myu65,myu_lower_p6,myu_upper_p6,original_generated_power6,original_lambda6,P_61,P_62,P_65,line61,line62,line65,voltage6,time step,current time
0,0.060825736471579406,-0.007141252548365173,-0.12178788018656683,149.96630351519684,-914.3070088284162,-128.57171154301454,-892.9124168562339,0,0,-1277.3404659031694,-200,29,1.5036391218099165,-1277.3404659031694,0.0,0.0,0.0,0,1.3819194452450536,-200,1.5036391218099165,-85.6929911715838,-71.42828845698546,107.0875831437661,0,0,0,349.7979538513863,0.00041985511779785156,1526286604.6276386
0,0.06080387487691907,-0.007141623017332677,-0.12171967656486293,149.97408336411127,-914.3020483807334,-128.57160886569545,-892.8995738823176,0,0,-1276.8813724152988,-200,30,1.5644429966868356,-1276.8813724152988,0.0,0.0,0.0,0,1.442779283527485,-200,1.5644429966868356,-85.69795161926663,-71.42839113430455,107.10042611768245,0,0,0,349.79081222836896,0.004669904708862305,1526286604.6434348
0,0.06078614674269489,-0.0071419082055399485,-0.12166371315935054,149.98007231686188,-914.2982458462257,-128.57154344511628,-892.88971697448,0,0,-1276.5090815965923,-200,31,1.6252291434295305,-1276.5090815965923,0.0,0.0,0.0,0,1.5036111401071603,-200,1.6252291434295305,-85.70175415377435,-71.42845655488372,107.11028302551995,0,0,0,349.7836703201634,0.0037050247192382812,1526286604.6587102
0,0.06077181465397885,-0.007142127652059571,-0.12161800332237016,149.98468069337605,-914.2953300651016,-128.57150176288883,-892.8821511346143,0,0,-1276.208107733557,-200,32,1.6860009580835094,-1276.208107733557,0.0,0.0,0.0,0,1.5644201417683454,-200,1.6860009580835094,-85.70466993489845,-71.42849823711117,107.11784886538567,0,0,0,349.77652819251136,0.003290414810180664,1526286604.6736293
0,0.060760259612222534,-0.007142296452911978,-0.12158081631516393,149.9882255112766,-914.2930936910147,-128.57147520498984,-892.876343384728,0,0,-1275.9654518566713,-200,33,1.746761217695732,-1275.9654518566713,0.0,0.0,0.0,0,1.6252105499259275,-200,1.746761217695732,-85.70690630898525,-71.42852479501016,107.12365661527201,0,0,0,349.76938589605845,0.005600690841674805,1526286604.6914709
0,0.06075096619658882,-0.00714242625923589,-0.12155066776980439,149.9909514442777,-914.2913780615629,-128.57145828372722,-892.8718849010124,0,0,-1275.7702901283665,-200,34,1.8075121838923207,-1275.7702901283665,0.0,0.0,0.0,0,1.6859858838108297,-200,1.8075121838923207,-85.70862193843709,-71.42854171627278,107.12811509898756,0,0,0,349.7622434697992,0.0003032684326171875,1526286604.7028832
0,0.06074350810034579,-0.007142526055417875,-0.12152630008149101,149.99304716390043,-914.2900616944871,-128.5714475025202,-892.8684620331069,0,0,-1275.613670107261,-200,35,1.8682556919926665,-1275.613670107261,0.0,0.0,0.0,0,1.7467490338515752,-200,1.8682556919926665,-85.70993830551288,-71.42855249747981,107.13153796689312,0,0,0,349.7551009437438,0.0045185089111328125,1526286604.7207096
0,0.06073753471231602,-0.007142602764417916,-0.1215066581410913,149.99465805270233,-914.2890515290105,-128.57144063330566,-892.8658341096138,0,0,-1275.4882289586385,-200,36,1.9289932267049825,-1275.4882289586385,0.0,0.0,0.0,0,1.8075023629221207,-200,1.9289932267049825,-85.71094847098948,-71.42855936669434,107.13416589038616,0,0,0,349.7479583409794,0.000469207763671875,1526286604.7323282
0,0.06073275906604647,-0.007142661717693954,-0.12149086378286178,149.99589607110124,-914.2882762474187,-128.57143625656136,-892.8638164328788,0,0,-1275.387940386976,-200,37,1.989725985771029,-1275.387940386976,0.0,0.0,0.0,0,1.8682477948135516,-200,1.989725985771029,-85.71172375258129,-71.42856374343864,107.13618356712118,0,0,0,349.7408156792617,0.004204511642456055,1526286604.747389
0,0.060728947264351296,-0.007142707018999772,-0.12147819095747736,149.9968473985234,-914.2876811759209,-128.57143346785165,-892.8622672452491,0,0,-1275.30789255138,-200,38,2.0504549330353803,-1275.30789255138,0.0,0.0,0.0,0,1.9289868902922902,-200,2.0504549330353803,-85.71231882407915,-71.42856653214835,107.13773275475091,0,0,0,349.7336729722427,0.00426483154296875,1526286604.7632391
