I_21,I_23,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
-24.065629372823878,-12.263806716561021,-0.22652775889443255,38271.85970365319,-975.9343706271761,-987.736193283439,0,2.1725201709459157,0,-52.172520170945916,-7808.834693691382,-50000,35,4.361484721410482,-10.32288214766072,0.0,0.0,0,4375.071411887456,4.136666060624818,0,-50000,4.361484721410482,322.8240696421456,0,0,322.8240696421456,0.001596689224243164,1523791754.451868
-25.799860941714314,-12.623775569352347,-0.22481866078566437,37595.92529104693,-974.2001390582857,-987.3762244306477,0,2.1759303578543836,0,-52.175930357854384,-7747.745728738439,-50000,36,4.472166803249603,-9.387214706217506,0.0,0.0,0,4592.664447672894,4.24907539101765,0,-50000,4.472166803249603,322.8679871741208,0,0,322.8679871741208,0.0002739429473876953,1523791754.462805
-27.073204970233178,-12.0592771892143,-0.2230914122319536,37365.374252052,-972.9267950297668,-987.9407228107857,0,2.132012825879201,0,-52.1320128258792,-7701.856048345238,-50000,37,4.582193318225964,-8.535912878348853,0.0,0.0,0,4805.865730260814,4.3606210971336266,0,-50000,4.582193318225964,322.8811772711638,0,0,322.8811772711638,0.005019426345825195,1523791754.4783354
-29.081483840487863,-12.205217688085668,-0.22157222109233743,36669.301204811025,-970.9185161595121,-987.7947823119143,0,2.1188227288362214,0,-52.11882272883622,-7640.636461061547,-50000,38,4.691345267669701,-7.609428434793415,0.0,0.0,0,5017.748003144437,4.471407207679795,0,-50000,4.691345267669701,322.9265239468751,0,0,322.9265239468751,0.00025963783264160156,1523791754.4894388
-30.820975512053792,-11.728731212445496,-0.21993805998990545,36259.57111249847,-969.1790244879462,-988.2712687875545,0,2.073476053124921,0,-52.07347605312492,-7586.024440533447,-50000,39,4.799717045391607,-6.733258559906062,0.0,0.0,0,5225.095608456929,4.581376237674748,0,-50000,4.799717045391607,322.951889523431,0,0,322.951889523431,0.0023217201232910156,1523791754.5029116
-33.08055281372958,-11.727528440129618,-0.21834080771685915,35529.145493146745,-966.9194471862704,-988.2724715598704,0,2.0481104765689793,0,-52.04811047656898,-7518.665448947133,-50000,40,4.9071265518051375,-5.80182358732759,0.0,0.0,0,5429.906656113827,4.690546641533178,0,-50000,4.9071265518051375,322.99925142541434,0,0,322.99925142541434,0.00026869773864746094,1523791754.5136073
-35.18010795090959,-11.307828550907857,-0.21657991027195944,34984.43130960077,-964.8198920490904,-988.6921714490921,0,2.000748574585657,0,-52.00074857458566,-7452.8445875763255,-50000,41,5.013595760199085,-4.900344204111576,0.0,0.0,0,5629.981513572393,4.798836596669158,0,-50000,5.013595760199085,323.033458091284,0,0,323.033458091284,0.001928091049194336,1523791754.5261257
-37.64100821350155,-11.20786080221933,-0.2147591635299264,34220.180918003505,-962.3589917864984,-988.7921391977807,0,1.9665419087160103,0,-51.96654190871601,-7376.414864597134,-50000,42,5.1189731154076155,-3.959253765978815,0.0,0.0,0,5826.635704443994,4.906216178434121,0,-50000,5.1189731154076155,323.0825881390424,0,0,323.0825881390424,0.0002484321594238281,1523791754.5371099
-39.99700351654269,-10.827016319110498,-0.21275693697349407,33579.64413186714,-960.0029964834573,-989.1729836808895,0,1.9174118609575999,0,-51.9174118609576,-7298.7688024247855,-50000,43,5.223241241156541,-3.0368456407401965,0.0,0.0,0,6018.376890539754,5.012594646920869,0,-50000,5.223241241156541,323.12279461932553,0,0,323.12279461932553,0.003638744354248047,1523791754.5512917
-42.591171203101226,-10.66366591697033,-0.2106465942356719,32792.148202765486,-957.4088287968988,-989.3363340830297,0,1.877205380674468,0,-51.87720538067447,-7212.379695998408,-50000,44,5.326275236813661,-2.087460669723413,0.0,0.0,0,6206.0974286072005,5.117917944038705,0,-50000,5.326275236813661,323.1728736780881,0,0,323.1728736780881,0.0002281665802001953,1523791754.5623174
