I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
-104.93293397133527,-0.03249850984483449,16062.880379742805,-895.0670660286647,0,1.5827625716835314,0,-51.58276257168353,-5003.156786443968,-50000,20,0.4661460115282597,-11.96025944196319,0.0,0,1072.9483039287288,0.43560202293028827,0,-50000,0.4661460115282597,323.42003948667156,0,323.42003948667156,0.010681867599487305,1523628247.9944582
-107.27955712992696,-0.030543988597971417,15303.641396926389,-892.720442870073,0,1.5799605133284444,0,-51.579960513328444,-4713.318502593402,-50000,21,0.4796126358213837,-10.595168530638439,0.0,0,1230.9443552615733,0.450874017229274,0,-50000,0.4796126358213837,323.487096729381,0,323.487096729381,0.00012922286987304688,1523628248.0053031
-108.5306343299527,-0.028738618592109688,14891.74019440551,-891.4693656700473,0,1.512903270619006,0,-51.512903270619006,-4675.381092306028,-50000,22,0.49297086751368663,-9.990817161257187,0.0,0,1382.2346823234739,0.46524332652532885,0,-50000,0.49297086751368663,323.5405201282715,0,323.5405201282715,0.00011157989501953125,1523628248.0163386
-109.25636219654507,-0.02772754098835778,14651.13974760699,-890.7436378034549,0,1.4594798717284903,0,-51.45947987172849,-4844.66637770048,-50000,23,0.5068127714499737,-10.03004705977023,0.0,0,1528.182669496323,0.4791070970195077,0,-50000,0.5068127714499737,323.5990752328705,0,323.5990752328705,0.010096073150634766,1523628248.0376363
-109.43299765143877,-0.02770567443046601,14587.583160033522,-890.5670023485612,0,1.4009247671294816,0,-51.40092476712948,-5109.197525702126,-50000,24,0.5214104786662656,-10.37264942765708,0.0,0,1668.275146209271,0.4929599342347407,0,-50000,0.5214104786662656,323.6459449093812,0,323.6459449093812,0.009599447250366211,1523628248.0575225
-106.11840273406926,-0.028450544431524838,15655.209274857887,-893.8815972659307,0,1.3540550906187718,0,-51.35405509061877,-6704.461208063193,-50000,25,0.5405660821178747,-14.735703357905837,0.0,0,1803.6806552711482,0.5071852064505031,0,-50000,0.5405660821178747,323.7213217047436,0,323.7213217047436,0.0034542083740234375,1523628248.0720205
-96.3546813186656,-0.03338087566737158,18807.935211082204,-903.6453186813344,0,1.278678295256384,0,-51.278678295256384,-9174.283762221814,-50000,26,0.5667783214385085,-21.797758987791738,0.0,0,1931.5484847967866,0.523875644284189,0,-50000,0.5667783214385085,323.6237640787342,0,323.6237640787342,0.00010538101196289062,1523628248.0827754
-82.00006182002653,-0.0429026771543195,23462.831339114113,-917.9999381799735,0,1.3762359212657884,0,-51.37623592126579,-12202.88999280479,-50000,27,0.6016437214179507,-30.67408276754171,0.0,0,2069.1720769233652,0.5453269828613487,0,-50000,0.6016437214179507,323.39143695052724,0,323.39143695052724,0.00010633468627929688,1523628248.0935304
-84.32333310209629,-0.05631673855660202,22730.556139655124,-915.6766668979037,0,1.6085630494727639,0,-51.608563049472764,-12233.335393270503,-50000,28,0.6365961082558664,-30.325428767747287,0.0,0,2230.0283818706416,0.5734853521396497,0,-50000,0.6365961082558664,323.5003970362308,0,323.5003970362308,0.010204792022705078,1523628248.1144738
-83.23373224506042,-0.06311075611621675,23073.854571915625,-916.7662677549396,0,1.4996029637691777,0,-51.49960296376918,-12282.7187026019,-50000,29,0.6716895902633004,-29.975904899368132,0.0,0,2379.9886782475596,0.6050407301977581,0,-50000,0.6716895902633004,323.4584091615266,0,323.4584091615266,0.010318279266357422,1523628248.1358402
