I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
-48.96689289886865,-0.06340230836805294,34240.07241311637,-951.0331071011313,0,3.151366078451872,0,-53.15136607845187,-11737.02968081942,-50000,31,0.9072300416853775,-21.16035408738575,0.0,0,5052.55522840069,0.841994516984724,0,-50000,0.9072300416853775,321.7852796096719,0,321.7852796096719,0.001903533935546875,1523627293.856852
-46.98183745645508,-0.06523552470065341,34881.93629749845,-953.0181625435449,0,3.214720390328125,0,-53.214720390328125,-11953.602659664357,-50000,32,0.9413831921415613,-20.87640425186794,0.0,0,5374.027267433503,0.8746122793350508,0,-50000,0.9413831921415613,321.7245237660237,0,321.7245237660237,0.00012826919555664062,1523627293.8676205
-45.167480363233494,-0.06677091280651049,35468.51389042748,-954.8325196367665,0,3.275476233976292,0,-53.27547623397629,-12142.877708906199,-50000,33,0.9760771284527219,-20.487323969946416,0.0,0,5701.5748908311325,0.907997735738306,0,-50000,0.9760771284527219,321.6677662597827,0,321.6677662597827,0.0021512508392333984,1523627293.880644
-43.489109349768,-0.06807939271441588,36010.9553388327,-956.510890650232,0,3.332233740217305,0,-53.332233740217305,-12320.418511024938,-50000,34,1.0112783241985075,-20.041754386522705,0.0,0,6034.798264852863,0.9420374320955139,0,-50000,1.0112783241985075,321.61563759602745,0,321.61563759602745,0.0001304149627685547,1523627293.8913689
-41.90782582709403,-0.06924089210299356,36521.787876355884,-958.092174172906,0,3.3843624039725455,0,-53.384362403972546,-12498.872876319017,-50000,35,1.046989389559419,-19.58007351794977,0.0,0,6373.234505250118,0.9766578781470108,0,-50000,1.046989389559419,321.56815499999476,0,321.56815499999476,0.003092050552368164,1523627293.9054196
-40.38669040557579,-0.07033151141240812,37012.926479723,-959.6133095944242,0,3.4318450000052394,0,-53.43184500000524,-12687.27889273325,-50000,36,1.083238757824371,-19.131894834118008,0.0,0,6716.419005250642,1.011823633853215,0,-50000,1.083238757824371,321.5249074875729,0,321.5249074875729,0.00012731552124023438,1523627293.916015
-38.89474414622612,-0.07141512397115601,37494.37098663183,-961.1052558537739,0,3.475092512427125,0,-53.475092512427125,-12891.028088960966,-50000,37,1.1200702666499738,-18.715658660934935,0.0,0,7063.928256493355,1.047531195838793,0,-50000,1.1200702666499738,321.48523672890417,0,321.48523672890417,0.0010876655578613281,1523627293.9277022
-37.40907951628628,-0.07253907081118083,37973.53321589631,-962.5909204837137,0,3.5147632710958305,0,-53.51476327109583,-13112.288232665045,-50000,38,1.157533947314731,-18.339725998021336,0.0,0,7415.404583602938,1.0838007312443834,0,-50000,1.157533947314731,321.4483935738241,0,321.4483935738241,0.1016089916229248,1523627294.0398357
-35.91464836695252,-0.07373321607034766,38455.29397667435,-964.0853516330475,0,3.5516064261759084,0,-53.55160642617591,-13370.718496531197,-50000,39,1.195736000161963,-18.065996866546072,0.0,0,7770.565226220529,1.1206673392795572,0,-50000,1.195736000161963,321.41648921712243,0,321.41648921712243,0.011089563369750977,1523627294.0621345
-34.36216894658173,-0.07506866088240582,38955.432295304076,-965.6378310534183,0,3.5835107828775676,0,-53.58351078287757,-13640.999052054907,-50000,40,1.2347102831678343,-17.818098947701262,0.0,0,8128.916304508286,1.1582016697207602,0,-50000,1.2347102831678343,321.38365239382154,0,321.38365239382154,0.012138128280639648,1523627294.08561
